Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
429.66,1,0.095,8.935,0.65,0.0,1,864
429.66,2,1.176,9.256,1.734,0.0,1,110
429.66,3,-4.322,7.849,0.579,0.0,1,468
429.66,4,-4.737,7.258,0.653,0.0,1,680
429.66,5,1.22,9.266,0.613,0.0,1,370
429.66,6,-2.998,7.779,0.623,0.0,1,637
429.63,1,0.095,8.935,0.65,0.0,1,866
429.63,2,1.176,9.256,1.734,0.0,1,110
429.63,3,-4.322,7.849,0.579,0.0,1,472
429.63,4,-4.737,7.258,0.653,0.0,1,680
429.63,5,1.22,9.266,0.613,0.0,1,374
429.63,6,-2.998,7.779,0.623,0.0,1,637
429.79,1,0.095,8.935,0.65,0.0,1,866
429.79,2,1.176,9.256,1.734,0.0,1,110
429.79,3,-4.322,7.849,0.579,0.0,1,471
429.79,4,-4.737,7.258,0.653,0.0,1,680
429.79,5,1.22,9.266,0.613,0.0,1,374
429.79,6,-2.998,7.779,0.623,0.0,1,637
429.82,1,0.095,8.935,0.65,0.0,1,868
429.82,2,1.176,9.256,1.734,0.0,1,110
429.82,3,-4.322,7.849,0.579,0.0,1,470
429.82,4,-4.737,7.258,0.653,0.0,1,680
429.82,5,1.22,9.266,0.613,0.0,1,374
429.82,6,-2.998,7.779,0.623,0.0,1,637
429.92,1,0.095,8.935,0.65,0.0,1,868
429.92,2,1.176,9.256,1.734,0.0,1,110
429.92,3,-4.322,7.849,0.579,0.0,1,473
429.92,4,-4.737,7.258,0.653,0.0,1,680
429.92,5,1.22,9.266,0.613,0.0,1,375
429.92,6,-2.998,7.779,0.623,0.0,1,637
429.96,1,0.095,8.935,0.65,0.0,1,868
429.96,2,1.176,9.256,1.734,0.0,1,110
429.96,3,-4.322,7.849,0.579,0.0,1,473
429.96,4,-4.737,7.258,0.653,0.0,1,679
429.96,5,1.22,9.266,0.613,0.0,1,376
