Timestamp,Track_ID,X_Min,Y_Min,X_Max,Y_Max
666.47,1,959.4,81.9,1181.9,330.9
666.47,2,307.6,74.3,478.1,198.5
666.47,3,109.2,134.6,255.7,330.5
666.47,4,475.4,78.9,650.4,330.5
666.47,5,304.4,76.5,483.5,332.2
666.47,6,480.9,76.7,647.7,200.2
666.53,1,959.4,81.9,1181.9,330.9
666.53,2,307.6,74.3,478.1,198.5
666.53,3,109.2,134.6,255.7,330.5
666.53,4,475.4,78.9,650.4,330.5
666.53,5,304.4,76.5,483.5,332.2
666.53,6,480.9,76.7,647.7,200.2
666.57,1,959.4,81.9,1181.9,330.9
666.57,2,307.6,74.3,478.1,198.5
666.57,3,109.2,134.6,255.7,330.5
666.57,4,475.4,78.9,650.4,330.5
666.57,5,304.4,76.5,483.5,332.2
666.57,6,480.9,76.7,647.7,200.2
666.6,1,959.4,81.9,1181.9,330.9
666.6,2,307.6,74.3,478.1,198.5
666.6,3,109.2,134.6,255.7,330.5
666.6,4,475.4,78.9,650.4,330.5
666.6,5,304.4,76.5,483.5,332.2
666.6,6,480.9,76.7,647.7,200.2
666.63,1,959.4,81.9,1181.9,330.9
666.63,2,307.6,74.3,478.1,198.5
666.63,3,109.2,134.6,255.7,330.5
666.63,4,475.4,78.9,650.4,330.5
666.63,5,304.4,76.5,483.5,332.2
666.63,6,480.9,76.7,647.7,200.2
666.67,1,959.4,81.9,1181.9,330.9
666.67,2,307.6,74.3,478.1,198.5
666.67,3,109.2,134.6,255.7,330.5
666.67,4,475.4,78.9,650.4,330.5
666.67,5,304.4,76.5,483.5,332.2
666.67,6,480.9,76.7,647.7,200.2
666.7,1,959.4,81.9,1181.9,330.9
666.7,2,307.6,74.3,478.1,198.5
666.7,3,109.2,134.6,255.7,330.5
666.7,4,475.4,78.9,650.4,330.5
666.7,5,304.4,76.5,483.5,332.2
666.7,6,480.9,76.7,647.7,200.2
666.73,1,959.4,81.9,1181.9,330.9
666.73,2,307.6,74.3,478.1,198.5
666.73,3,109.2,134.6,255.7,330.5
666.73,4,475.4,78.9,650.4,330.5
666.73,5,304.4,76.5,483.5,332.2
666.73,6,480.9,76.7,647.7,200.2
666.76,1,959.4,81.9,1181.9,330.9
666.76,2,307.6,74.3,478.1,198.5
666.76,3,109.2,134.6,255.7,330.5
666.76,4,475.4,78.9,650.4,330.5
666.76,5,304.4,76.5,483.5,332.2
666.76,6,480.9,76.7,647.7,200.2
666.8,1,959.4,81.9,1181.9,330.9
666.8,2,307.6,74.3,478.1,198.5
666.8,3,109.2,134.6,255.7,330.5
666.8,4,475.4,78.9,650.4,330.5
666.8,5,304.4,76.5,483.5,332.2
666.8,6,480.9,76.7,647.7,200.2
666.83,1,959.4,81.9,1181.9,330.9
666.83,2,307.6,74.3,478.1,198.5
666.83,3,109.2,134.6,255.7,330.5
666.83,4,475.4,78.9,650.4,330.5
666.83,5,304.4,76.5,483.5,332.2
666.83,6,480.9,76.7,647.7,200.2
666.86,1,959.4,81.9,1181.9,330.9
666.86,2,307.6,74.3,478.1,198.5
666.86,3,109.2,134.6,255.7,330.5
666.86,4,475.4,78.9,650.4,330.5
666.86,5,304.4,76.5,483.5,332.2
666.86,6,480.9,76.7,647.7,200.2
666.9,1,959.4,81.9,1181.9,330.9
666.9,2,307.6,74.3,478.1,198.5
666.9,3,109.2,134.6,255.7,330.5
666.9,4,475.4,78.9,650.4,330.5
666.9,5,304.4,76.5,483.5,332.2
666.9,6,480.9,76.7,647.7,200.2
666.93,1,959.4,81.9,1181.9,330.9
666.93,2,307.6,74.3,478.1,198.5
666.93,3,109.2,134.6,255.7,330.5
666.93,4,475.4,78.9,650.4,330.5
666.93,5,304.4,76.5,483.5,332.2
666.93,6,480.9,76.7,647.7,200.2
666.96,1,959.4,81.9,1181.9,330.9
666.96,2,307.6,74.3,478.1,198.5
666.96,3,109.2,134.6,255.7,330.5
666.96,4,475.4,78.9,650.4,330.5
666.96,5,304.4,76.5,483.5,332.2
666.96,6,480.9,76.7,647.7,200.2
667.0,1,959.4,81.9,1181.9,330.9
667.0,2,307.6,74.3,478.1,198.5
667.0,3,109.2,134.6,255.7,330.5
667.0,4,475.4,78.9,650.4,330.5
667.0,5,304.4,76.5,483.5,332.2
667.0,6,480.9,76.7,647.7,200.2
667.03,1,959.4,81.9,1181.9,330.9
667.03,2,307.6,74.3,478.1,198.5
667.03,3,109.2,134.6,255.7,330.5
667.03,4,475.4,78.9,650.4,330.5
667.03,5,304.4,76.5,483.5,332.2
667.03,6,480.9,76.7,647.7,200.2
667.06,1,959.4,81.9,1181.9,330.9
667.06,2,307.6,74.3,478.1,198.5
667.06,3,109.2,134.6,255.7,330.5
667.06,4,475.4,78.9,650.4,330.5
667.06,5,304.4,76.5,483.5,332.2
667.06,6,480.9,76.7,647.7,200.2
667.1,1,959.4,81.9,1181.9,330.9
667.1,2,307.6,74.3,478.1,198.5
667.1,3,109.2,134.6,255.7,330.5
667.1,4,475.4,78.9,650.4,330.5
667.1,5,304.4,76.5,483.5,332.2
667.1,6,480.9,76.7,647.7,200.2
667.13,1,959.4,81.9,1181.9,330.9
667.13,2,307.6,74.3,478.1,198.5
667.13,3,109.2,134.6,255.7,330.5
667.13,4,475.4,78.9,650.4,330.5
667.13,5,304.4,76.5,483.5,332.2
667.13,6,480.9,76.7,647.7,200.2
667.16,1,959.4,81.9,1181.9,330.9
667.16,2,307.6,74.3,478.1,198.5
667.16,3,109.2,134.6,255.7,330.5
667.16,4,475.4,78.9,650.4,330.5
667.16,5,304.4,76.5,483.5,332.2
667.16,6,480.9,76.7,647.7,200.2
667.19,1,959.4,81.9,1181.9,330.9
667.19,2,307.6,74.3,478.1,198.5
667.19,3,109.2,134.6,255.7,330.5
667.19,4,475.4,78.9,650.4,330.5
667.19,5,304.4,76.5,483.5,332.2
667.19,6,480.9,76.7,647.7,200.2
667.23,1,959.4,81.9,1181.9,330.9
667.23,2,307.6,74.3,478.1,198.5
667.23,3,109.2,134.6,255.7,330.5
667.23,4,475.4,78.9,650.4,330.5
667.23,5,304.4,76.5,483.5,332.2
667.23,6,480.9,76.7,647.7,200.2
667.26,1,959.4,81.9,1181.9,330.9
667.26,2,307.6,74.3,478.1,198.5
667.26,3,109.2,134.6,255.7,330.5
667.26,4,475.4,78.9,650.4,330.5
667.26,5,304.4,76.5,483.5,332.2
667.26,6,480.9,76.7,647.7,200.2
667.29,1,959.4,81.9,1181.9,330.9
667.29,2,307.6,74.3,478.1,198.5
667.29,3,109.2,134.6,255.7,330.5
667.29,4,475.4,78.9,650.4,330.5
667.29,5,304.4,76.5,483.5,332.2
667.29,6,480.9,76.7,647.7,200.2
667.33,1,959.4,81.9,1181.9,330.9
667.33,2,307.6,74.3,478.1,198.5
667.33,3,109.2,134.6,255.7,330.5
667.33,4,475.4,78.9,650.4,330.5
667.33,5,304.4,76.5,483.5,332.2
667.33,6,480.9,76.7,647.7,200.2
667.36,1,959.4,81.9,1181.9,330.9
667.36,2,307.6,74.3,478.1,198.5
667.36,3,109.2,134.6,255.7,330.5
667.36,4,475.4,78.9,650.4,330.5
667.36,5,304.4,76.5,483.5,332.2
667.36,6,480.9,76.7,647.7,200.2
667.39,1,959.4,81.9,1181.9,330.9
667.39,2,307.6,74.3,478.1,198.5
667.39,3,109.2,134.6,255.7,330.5
667.39,4,475.4,78.9,650.4,330.5
667.39,5,304.4,76.5,483.5,332.2
667.39,6,480.9,76.7,647.7,200.2
667.42,1,959.4,81.9,1181.9,330.9
667.42,2,307.6,74.3,478.1,198.5
667.42,3,109.2,134.6,255.7,330.5
667.42,4,475.4,78.9,650.4,330.5
667.42,5,304.4,76.5,483.5,332.2
667.42,6,480.9,76.7,647.7,200.2
667.46,1,959.4,81.9,1181.9,330.9
667.46,2,307.6,74.3,478.1,198.5
667.46,3,109.2,134.6,255.7,330.5
667.46,4,475.4,78.9,650.4,330.5
667.46,5,304.4,76.5,483.5,332.2
667.46,6,480.9,76.7,647.7,200.2
667.49,1,959.4,81.9,1181.9,330.9
667.49,2,307.6,74.3,478.1,198.5
667.49,3,109.2,134.6,255.7,330.5
667.49,4,475.4,78.9,650.4,330.5
667.49,5,304.4,76.5,483.5,332.2
667.49,6,480.9,76.7,647.7,200.2
667.52,1,959.4,81.9,1181.9,330.9
667.52,2,307.6,74.3,478.1,198.5
667.52,3,109.2,134.6,255.7,330.5
667.52,4,475.4,78.9,650.4,330.5
667.52,5,304.4,76.5,483.5,332.2
667.52,6,480.9,76.7,647.7,200.2
667.56,1,959.4,81.9,1181.9,330.9
667.56,2,307.6,74.3,478.1,198.5
667.56,3,109.2,134.6,255.7,330.5
667.56,4,475.4,78.9,650.4,330.5
667.56,5,304.4,76.5,483.5,332.2
667.56,6,480.9,76.7,647.7,200.2
667.59,1,959.4,81.9,1181.9,330.9
667.59,2,307.6,74.3,478.1,198.5
667.59,3,109.2,134.6,255.7,330.5
667.59,4,475.4,78.9,650.4,330.5
667.59,5,304.4,76.5,483.5,332.2
667.59,6,480.9,76.7,647.7,200.2
667.62,1,959.4,81.9,1181.9,330.9
667.62,2,307.6,74.3,478.1,198.5
667.62,3,109.2,134.6,255.7,330.5
667.62,4,475.4,78.9,650.4,330.5
667.62,5,304.4,76.5,483.5,332.2
667.62,6,480.9,76.7,647.7,200.2
667.66,1,959.4,81.9,1181.9,330.9
667.66,2,307.6,74.3,478.1,198.5
667.66,3,109.2,134.6,255.7,330.5
667.66,4,475.4,78.9,650.4,330.5
667.66,5,304.4,76.5,483.5,332.2
667.66,6,480.9,76.7,647.7,200.2
667.69,1,959.4,81.9,1181.9,330.9
667.69,2,307.6,74.3,478.1,198.5
667.69,3,109.2,134.6,255.7,330.5
667.69,4,475.4,78.9,650.4,330.5
667.69,5,304.4,76.5,483.5,332.2
667.69,6,480.9,76.7,647.7,200.2
667.72,1,959.4,81.9,1181.9,330.9
667.72,2,307.6,74.3,478.1,198.5
667.72,3,109.2,134.6,255.7,330.5
667.72,4,475.4,78.9,650.4,330.5
667.72,5,304.4,76.5,483.5,332.2
667.72,6,480.9,76.7,647.7,200.2
667.75,1,959.4,81.9,1181.9,330.9
667.75,2,307.6,74.3,478.1,198.5
667.75,3,109.2,134.6,255.7,330.5
667.75,4,475.4,78.9,650.4,330.5
667.75,5,304.4,76.5,483.5,332.2
667.75,6,480.9,76.7,647.7,200.2
